39,49,07,08,09,35,07,08,09,35,24,05,01,01,01,01,01,01,01,27,28,01,01,01,01,01,01,01,01,01,01,02,01,01,01,01,02,37,38,01,01,01,03,01,01,01,01,01,01,34,
29,49,17,18,19,35,17,18,19,35,34,05,01,03,01,01,01,01,01,37,38,01,01,01,03,01,01,01,01,02,01,01,01,01,54,55,56,01,01,01,01,01,01,01,01,01,01,01,01,24,
39,49,35,35,35,35,35,35,35,35,24,05,01,01,01,46,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,64,65,66,01,01,01,01,01,01,01,01,01,01,01,01,34,
29,49,35,35,35,35,35,35,35,35,34,05,01,01,01,47,01,03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,74,75,36,01,01,01,02,01,01,01,01,01,01,01,01,24,
39,49,07,08,09,35,07,08,09,35,24,05,01,01,01,48,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,84,85,86,01,01,01,01,01,01,01,01,01,01,01,01,34,
29,49,17,18,19,35,17,18,19,35,34,05,03,01,01,01,01,01,01,01,02,01,01,01,01,01,02,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,02,24,
39,49,35,35,35,35,35,35,35,35,24,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,01,01,01,34,
29,49,35,35,35,35,35,35,35,35,34,05,01,01,01,01,03,01,01,01,01,01,01,01,01,01,03,01,01,01,02,01,01,01,01,01,40,40,41,42,40,41,42,40,41,42,40,41,42,24,
39,49,35,35,35,35,35,35,35,35,24,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,44,43,43,43,43,43,43,43,43,43,43,43,43,34,
29,49,35,35,11,12,13,11,12,13,14,05,01,01,01,01,01,01,02,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,44,45,45,45,45,45,45,45,45,45,45,45,45,24,
39,49,35,35,21,22,23,21,22,23,22,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,44,05,06,06,06,06,06,06,06,06,06,06,06,34,
29,49,35,35,31,32,33,31,32,33,32,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,01,01,01,01,01,01,44,05,01,01,01,01,01,01,01,01,01,01,01,24,
39,49,35,35,06,06,06,06,06,06,06,01,01,01,01,01,01,01,01,01,01,01,01,02,01,01,01,01,01,01,01,03,01,01,01,01,44,05,54,55,56,55,01,55,54,55,56,55,56,34,
29,05,01,01,01,01,01,01,01,01,01,01,01,02,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,44,05,64,65,66,04,01,04,64,65,65,65,66,24,
39,05,01,01,01,01,01,03,01,01,01,01,01,01,01,01,01,01,03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,44,05,74,75,76,36,01,01,74,75,75,75,76,34,
29,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,01,01,01,01,01,01,01,01,01,44,05,84,85,86,01,01,01,84,85,85,85,86,24,
39,05,01,01,01,02,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,44,05,01,55,01,55,01,55,54,55,56,55,01,34,
29,05,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,01,02,01,01,01,01,01,01,02,01,01,01,02,01,01,01,01,01,44,05,01,04,01,04,01,04,64,65,66,04,01,24,
39,05,01,01,01,01,01,01,01,01,03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,46,44,05,01,36,01,01,01,01,74,75,76,36,01,34,
29,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,02,01,01,01,01,01,01,01,47,43,05,01,01,01,01,01,01,84,85,86,01,01,24,
39,05,01,03,01,01,01,01,01,01,01,01,01,01,03,01,01,01,01,01,01,02,01,01,01,03,01,01,01,01,01,01,01,01,01,48,45,05,54,55,56,55,01,55,01,55,54,55,56,34,
29,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,04,01,64,65,66,04,01,04,01,04,64,65,66,24,
39,05,01,01,01,01,02,01,02,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,01,01,01,01,03,01,01,02,01,01,01,01,01,74,75,76,01,01,01,01,01,74,75,76,34,
29,05,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,84,85,85,86,01,01,01,01,84,85,86,24,
10,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,11,12,13,14,
20,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,21,22,23,24,

